classifier,accuracy,balanced_accuracy,f1_macro,adjusted_rand,test_cluster_sizes
logistic_l2,0.9230769230769231,0.9226190476190477,0.9226190476190477,0.7042766151046406,14|12
logistic_l2,0.9615384615384616,0.9642857142857143,0.9614814814814814,0.845945279763372,12|14
logistic_l2,1.0,1.0,1.0,1.0,16|10
logistic_l2,0.9615384615384616,0.96875,0.9600614439324117,0.8461902508282063,10|16
logistic_l2,0.9615384615384616,0.9583333333333333,0.9610194902548725,0.8460736951785545,12|14
linear_svm,0.9230769230769231,0.9226190476190477,0.9226190476190477,0.7042766151046406,14|12
linear_svm,0.9615384615384616,0.9642857142857143,0.9614814814814814,0.845945279763372,12|14
linear_svm,1.0,1.0,1.0,1.0,16|10
linear_svm,0.9615384615384616,0.96875,0.9600614439324117,0.8461902508282063,10|16
linear_svm,0.9615384615384616,0.9583333333333333,0.9610194902548725,0.8460736951785545,12|14
rbf_svm,0.9230769230769231,0.9226190476190477,0.9226190476190477,0.7042766151046406,14|12
rbf_svm,0.9615384615384616,0.9642857142857143,0.9614814814814814,0.845945279763372,12|14
rbf_svm,1.0,1.0,1.0,1.0,16|10
rbf_svm,0.9230769230769231,0.91875,0.91875,0.7045454545454546,10|16
rbf_svm,0.9615384615384616,0.9583333333333333,0.9610194902548725,0.8460736951785545,12|14
extra_trees,0.9230769230769231,0.9166666666666667,0.9212121212121211,0.7047691143073429,14|12
extra_trees,0.9230769230769231,0.9226190476190477,0.9226190476190477,0.7042766151046406,12|14
extra_trees,0.9615384615384616,0.96875,0.9600614439324117,0.8461902508282063,16|10
extra_trees,0.9615384615384616,0.96875,0.9600614439324117,0.8461902508282063,10|16
extra_trees,0.9615384615384616,0.9583333333333333,0.9610194902548725,0.8460736951785545,12|14
