validation,model,fold,k,test_cluster_sizes,accuracy,balanced_accuracy,f1_macro,adjusted_rand
train_only_cluster_propagation,logistic_l2,1,2,23|3,1.0,1.0,1.0,1.0
train_only_cluster_propagation,logistic_l2,2,2,17|9,0.9615384615384616,0.9444444444444444,0.9563025210084033,0.8451230437849069
train_only_cluster_propagation,logistic_l2,3,2,25|1,1.0,1.0,1.0,1.0
train_only_cluster_propagation,logistic_l2,4,2,2|24,1.0,1.0,1.0,1.0
train_only_cluster_propagation,logistic_l2,5,2,1|25,0.9615384615384616,0.5,0.49019607843137253,0.0
train_only_cluster_propagation,linear_svm,1,2,23|3,1.0,1.0,1.0,1.0
train_only_cluster_propagation,linear_svm,2,2,17|9,0.9615384615384616,0.9444444444444444,0.9563025210084033,0.8451230437849069
train_only_cluster_propagation,linear_svm,3,2,25|1,1.0,1.0,1.0,1.0
train_only_cluster_propagation,linear_svm,4,2,2|24,1.0,1.0,1.0,1.0
train_only_cluster_propagation,linear_svm,5,2,1|25,1.0,1.0,1.0,1.0
train_only_cluster_propagation,rbf_svm,1,2,23|3,0.8846153846153846,0.5,0.46938775510204084,0.0
train_only_cluster_propagation,rbf_svm,2,2,17|9,0.6923076923076923,0.5555555555555556,0.5047619047619047,0.06772908366533864
train_only_cluster_propagation,rbf_svm,3,2,25|1,0.9615384615384616,0.5,0.49019607843137253,0.0
train_only_cluster_propagation,rbf_svm,4,2,2|24,0.9230769230769231,0.5,0.48,0.0
train_only_cluster_propagation,rbf_svm,5,2,1|25,0.9615384615384616,0.5,0.49019607843137253,0.0
train_only_cluster_propagation,tri_ensemble,1,2,23|3,0.9615384615384616,0.8333333333333333,0.8893617021276596,0.7412502786535461
train_only_cluster_propagation,tri_ensemble,2,2,17|9,1.0,1.0,1.0,1.0
train_only_cluster_propagation,tri_ensemble,3,2,25|1,1.0,1.0,1.0,1.0
train_only_cluster_propagation,tri_ensemble,4,2,2|24,0.9230769230769231,0.5,0.48,0.0
train_only_cluster_propagation,tri_ensemble,5,2,1|25,0.9615384615384616,0.5,0.49019607843137253,0.0
